,mesh 2 x,mesh 2 y,mesh 2 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
0,1,1,1,1.0,10000000.0,neutron,total,flux,0.08054681985937433,0.00020530348755908392
1,1,1,1,10000000.0,14000000.0,neutron,total,flux,0.0007595364388196608,2.5751356105295345e-05
2,1,1,1,14000000.0,20000000.0,neutron,total,flux,0.02130562721296433,8.456963296876025e-05
3,2,1,1,1.0,10000000.0,neutron,total,flux,0.081322161319695,0.0003121952160854072
4,2,1,1,10000000.0,14000000.0,neutron,total,flux,0.0007993506038214734,1.573240256549878e-05
5,2,1,1,14000000.0,20000000.0,neutron,total,flux,0.020686553660199957,8.456209171557565e-05
6,3,1,1,1.0,10000000.0,neutron,total,flux,0.08215867877631645,0.00020504966064711032
7,3,1,1,10000000.0,14000000.0,neutron,total,flux,0.0008385906977115339,2.4094919127485916e-05
8,3,1,1,14000000.0,20000000.0,neutron,total,flux,0.02010879791658526,8.281728956926074e-05
9,4,1,1,1.0,10000000.0,neutron,total,flux,0.08274617971208162,0.00022767526780236884
10,4,1,1,10000000.0,14000000.0,neutron,total,flux,0.0008372437623501428,3.226199913577282e-05
11,4,1,1,14000000.0,20000000.0,neutron,total,flux,0.019549117036948782,8.08533358350825e-05
12,5,1,1,1.0,10000000.0,neutron,total,flux,0.08393017843177505,0.00036958356672616826
13,5,1,1,10000000.0,14000000.0,neutron,total,flux,0.000871858535564677,3.558141873821117e-05
14,5,1,1,14000000.0,20000000.0,neutron,total,flux,0.018989492973665326,7.815369921913898e-05
15,6,1,1,1.0,10000000.0,neutron,total,flux,0.08476270605849212,0.00024368833739709455
16,6,1,1,10000000.0,14000000.0,neutron,total,flux,0.0009206367048595147,3.3777489764219535e-05
17,6,1,1,14000000.0,20000000.0,neutron,total,flux,0.018491628910308956,7.707317149676094e-05
18,7,1,1,1.0,10000000.0,neutron,total,flux,0.08564652718743182,0.00021184411388796981
19,7,1,1,10000000.0,14000000.0,neutron,total,flux,0.0009909569570636409,3.102827214546163e-05
20,7,1,1,14000000.0,20000000.0,neutron,total,flux,0.018005039847724467,7.211794546573206e-05
21,8,1,1,1.0,10000000.0,neutron,total,flux,0.08668618513772577,0.00017072822071035552
